,DateTime,zenith,azimuth,Temperature,Temperature_cell
235,2014-03-28-12-20-00,31.937012,184.1836,14.794922,37.54472028
236,2014-03-28-16-20-00,65.583984,255.96484,16.570312,38.61641725
237,2014-03-29-07-40-00,69.83203,100.26953,8.529785,31.32964478
238,2014-03-29-11-40-00,32.29297,165.48047,15.299316,48.61437549
239,2014-03-29-15-40-00,57.594727,249.27734,19.30957,43.03932444
240,2014-03-30-06-55-00,78.69531,93.21289,10.97998,23.22220262
241,2014-03-30-10-55-00,35.69336,146.38672,18.47998,44.28854961
242,2014-03-30-14-55-00,49.0625,240.28516,21.363281,25.40059237
243,2014-03-31-06-10-00,87.62695,86.47266,4.6799316,12.30671317
244,2014-03-31-10-10-00,41.439453,130.98438,11.375977,47.27355364
245,2014-03-31-14-10-00,41.314453,228.92969,16.754883,43.69334653
246,2014-03-31-18-10-00,87.416016,273.60938,17.223633,25.03756756
247,2014-04-01-09-25-00,48.6709,118.94922,16.139648,41.13006385
248,2014-04-01-13-25-00,34.914062,214.0664,21.384277,45.25317245
249,2014-04-01-17-25-00,78.05664,267.5,21.782227,37.31432816
250,2014-04-02-08-40-00,56.776367,109.31055,13.25,40.43547109
251,2014-04-02-12-40-00,30.739258,194.91016,19.009766,42.35817934
252,2014-04-02-16-40-00,68.740234,261.10938,18.967285,34.17124474
253,2014-04-03-07-50-00,66.45117,100.47461,8.279785,30.99604588
254,2014-04-03-11-50-00,29.990234,170.28516,14.333984,48.02759601
255,2014-04-03-15-50-00,58.64746,253.0664,17.167969,48.43510146
256,2014-04-04-07-00-00,76.33984,92.60742,4.4799805,14.90584152
257,2014-04-04-11-00-00,33.341797,147.45312,13.869141,41.91043819
258,2014-04-04-15-00-00,48.95703,243.4961,18.265137,30.75826263
259,2014-04-05-06-05-00,87.31641,84.46289,12.742432,13.08923802
260,2014-04-05-10-05-00,40.59961,128.16797,17.32129,46.14600034
261,2014-04-05-14-05-00,39.331055,229.59375,23.166016,52.67811553
262,2014-04-05-18-05-00,85.63867,274.59375,21.669922,22.63019879
263,2014-04-06-09-10-00,49.936523,114.16406,17.23584,45.05628514
264,2014-04-06-13-10-00,31.807617,209.95703,22.879883,50.34913363
265,2014-04-06-17-10-00,74.24219,267.03906,23.119629,35.88317283
266,2014-04-07-08-10-00,61.308594,102.57031,14.679932,46.82806133
267,2014-04-07-12-10-00,28.134277,180.90234,20.09961,42.83330201
268,2014-04-07-16-10-00,61.92285,258.1172,22.639648,27.43109081
269,2014-04-08-07-10-00,73.203125,92.947266,13.797363,37.69387312
270,2014-04-08-11-10-00,30.80371,150.98047,20.776367,41.86726602
271,2014-04-08-15-10-00,50.030273,247.39453,24.076172,42.45819256
272,2014-04-09-06-10-00,85.208984,84.0957,4.839966,15.75871312
273,2014-04-09-10-10-00,38.469727,128.46094,12.106689,38.74968689
274,2014-04-09-14-10-00,39.158203,232.96094,16.619629,51.9005887
275,2014-04-09-18-10-00,86.02734,276.6953,17.59961,28.46239314
276,2014-04-10-09-10-00,48.751953,112.91211,10.789795,31.9478489
277,2014-04-10-13-10-00,30.570312,211.65234,18.30957,47.01937723
278,2014-04-10-17-10-00,73.625,268.48438,20.669922,45.01080828
279,2014-04-11-08-00-00,62.22754,99.73633,13.4313965,31.21051821
280,2014-04-11-12-00-00,26.699707,176.03516,19.82129,47.73716848
281,2014-04-11-16-00-00,59.265625,257.9922,21.783203,25.61205594
282,2014-04-12-06-50-00,76.24609,88.94922,11.8125,13.43451853
283,2014-04-12-10-50-00,31.645996,141.63281,18.049805,36.37137588
284,2014-04-12-14-50-00,45.524414,244.75,21.759766,30.7990766
285,2014-04-13-09-40-00,42.344727,118.884766,15.419922,22.17952681
286,2014-04-13-13-40-00,33.541016,225.05078,18.452637,28.93105665
287,2014-04-13-17-40-00,79.30078,273.8203,16.415527,25.13532937
288,2014-04-14-08-25-00,56.41797,103.01953,12.119873,43.93866588
289,2014-04-14-12-25-00,25.902832,190.53125,18.629883,46.67228883
290,2014-04-14-16-25-00,63.83496,263.1797,21.159668,22.92140747
291,2014-04-15-07-10-00,71.390625,90.98828,12.079834,33.13718037
292,2014-04-15-11-10-00,28.285156,149.6836,18.871582,40.27866229
293,2014-04-15-15-10-00,48.751953,250.3711,15.821777,17.00613892
294,2014-04-16-05-55-00,86.43359,80.134766,2.369995,12.35133202
295,2014-04-16-09-55-00,38.813477,121.85742,9.559814,38.60870172
296,2014-04-16-13-55-00,35.101562,231.63281,16.489746,50.90448264
297,2014-04-16-17-55-00,81.90039,276.9297,9.859863,10.66165296
298,2014-04-17-08-35-00,53.655273,103.859375,5.9588623,36.98223645
299,2014-04-17-12-35-00,25.375977,196.9961,10.365723,21.50736726
300,2014-04-17-16-35-00,65.41797,265.79688,10.022461,13.80184075
301,2014-04-18-07-10-00,70.66016,90.15625,5.7999268,6.905658332
302,2014-04-18-11-10-00,27.254395,149.05078,12.069824,42.654765
303,2014-04-18-15-10-00,48.2334,251.6211,16.472168,39.64690134
304,2014-04-19-05-45-00,87.703125,77.95508,6.588135,11.95287206
305,2014-04-19-09-45-00,39.74121,118.15625,13.4313965,43.38289998
306,2014-04-19-13-45-00,32.82422,229.69922,18.449707,44.59613899
307,2014-04-19-17-45-00,79.416016,276.5,17.219727,24.76807113
308,2014-04-20-08-20-00,55.92578,100.328125,13.556152,44.22169106
309,2014-04-20-12-20-00,23.691895,189.13281,21.020996,58.69324116
310,2014-04-20-16-20-00,61.91504,264.57812,20.492676,45.92293271
311,2014-04-21-06-55-00,73.0332,87.21094,12.685791,37.30053728
312,2014-04-21-10-55-00,28.03125,141.3164,20.419922,54.26517801
313,2014-04-21-14-55-00,44.825195,249.75,22.939941,45.02512016
314,2014-04-22-09-25-00,42.666016,112.271484,18.143555,51.2120621
315,2014-04-22-13-25-00,29.129883,223.57422,22.953125,50.10437542
316,2014-04-22-17-25-00,74.90234,274.67188,21.57959,24.04911095
317,2014-04-23-07-50-00,61.33008,94.64453,15.232178,46.1415563
318,2014-04-23-11-50-00,22.68164,170.80078,20.790527,49.31020001
319,2014-04-23-15-50-00,55.384766,260.85938,21.291504,43.50253771
320,2014-04-24-06-15-00,80.50391,80.884766,8.589844,8.734295365
321,2014-04-24-10-15-00,33.149414,125.083984,10.5,13.51106873
322,2014-04-24-14-15-00,36.833008,241.36328,15.239258,43.13050358
323,2014-04-24-18-15-00,84.7168,282.21875,13.067383,14.86693093
324,2014-04-25-08-40-00,50.765625,102.24609,12.419922,41.66987698
325,2014-04-25-12-40-00,23.233887,202.6211,17.5,47.63161274
326,2014-04-25-16-40-00,65.2793,269.2578,20.316895,30.25572257
327,2014-04-26-07-00-00,70.91992,86.58008,7.131836,7.56489058
328,2014-04-26-11-00-00,25.869629,142.13672,10.909912,16.87420099
329,2014-04-26-15-00-00,44.96875,252.84375,8.3498535,17.32025862
330,2014-04-27-09-20-00,42.44336,109.453125,11.66333,43.57415324
331,2014-04-27-13-20-00,27.217285,223.84375,13.539795,15.08668985
332,2014-04-27-17-20-00,73.16992,275.51562,13.689941,14.60925786
333,2014-04-28-07-40-00,62.32617,91.73242,10.48999,41.43506298
334,2014-04-28-11-50-00,21.05371,170.7539,14.3498535,50.15076053
335,2014-04-28-15-50-00,54.660156,262.6328,16.783691,38.31703123
336,2014-04-29-06-05-00,81.46094,78.27539,8.382568,27.25379434
337,2014-04-29-10-05-00,33.612305,120.16016,15.788818,46.81253944
338,2014-04-29-14-05-00,34.10742,240.78516,21.096191,54.73669252
339,2014-04-29-18-05-00,81.9707,282.2578,22.336914,38.94542104
340,2014-04-30-08-20-00,53.771484,97.30664,16.72998,47.1395941
341,2014-04-30-12-20-00,20.544922,191.51172,24.628906,53.88914622
342,2014-04-30-16-20-00,60.49707,267.9297,26.255371,51.03941874
343,2014-05-01-06-30-00,76.0332,81.197266,14.72998,28.36920841
344,2014-05-01-10-30-00,28.88086,127.71484,24.328125,60.61755457
345,2014-05-01-14-30-00,38.378906,248.2461,27.879883,51.32307085
346,2014-05-01-18-30-00,86.62891,286.26562,25.762207,25.78327012
